,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
54,      Penerimaan Dari Surat-Sur..., 1297445000000.000000 , 15401446000000.000000 , 8292020000000.000000 , 17643428000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
55,      Pembelian Surat-Surat Ber..., -6248349000000.000000 , -154418115000000.000000 , -1172139000000.000000 , -862000000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
56,      Penerimaan Dari Surat-Sur..., 3737906000000.000000 , 195134001000000.000000 , 901509000000.000000 , 220350000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
57,      Pembelian Surat-Surat Ber..., - , - , -2010438000000.000000 , -2967801000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
58,      Penerimaan Dari Surat-Sur..., - , - , 1984364000000.000000 , 2287915000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
59,     &nbspTotal Arus Kas Dari Aktivitas...,4205004000000.000000,25805983000000.000000,-4999306000000.000000,3316909000000.000000,2052255000000.000000,-4612390000000.000000,-25053743000000.000000,18935842000000.000000,-60596377000000.000000,-20620020000000.000000,20627654000000.000000,-34732414000000.000000,-44117844000000.000000,-41247858000000.000000,-32382986000000.000000
60,Arus Kas Dari Aktivitas Pendana..., -2858995000000.000000 , -3201329000000.000000 , -3022702000000.000000 , -2773338000000.000000 , -1300874000000.000000 , 83951000000.000000 , -2743308000000.000000 , -4754155000000.000000 , -3662059000000.000000 , -6655698000000.000000 , -7297649000000.000000 , -7334896000000.000000 , -15553268000000.000000 , -14098229000000.000000 , -19116216000000.000000 
61,      Kenaikan Efek-Efek Utang ..., - , - , - , - , 1039867000000.000000 , 610970000000.000000 , -628946000000.000000 , 317065000000.000000 , -488794000000.000000 , -1721672000000.000000 , -370764000000.000000 , 1106617000000.000000 , -762000000000.000000 , -110000000000.000000 , -483000000000.000000 
62,      Penerimaan Dari Obligasi ..., - , - , - , - , - , - , - , - , - , - , 500000000000.000000 , - , - , - , - 
63,      Penurunan (Kenaikan) Pinj..., -635670000000.000000 , 282008000000.000000 , -281612000000.000000 , -7883000000.000000 , -312820000000.000000 , 372934000000.000000 , 907514000000.000000 , -1337605000000.000000 , 1045215000000.000000 , 252050000000.000000 , -957816000000.000000 , 242756000000.000000 , -1021658000000.000000 , -332381000000.000000 , 308738000000.000000 
64,      Penerimaan Dari Penambaha..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , 7500000000.000000 
65,      Efek-Efek Yang Dijual Den..., - , - , - , - , - , - , - , 38602000000.000000 , 96146000000.000000 , -38523000000.000000 , -58767000000.000000 , 68260000000.000000 , -135389000000.000000 , 76992000000.000000 , 158179000000.000000 
66,      Tambahan Setoran Modal Ke..., - , - , - , - , 50000000000.000000 , 27500000000.000000 , 60000000000.000000 , - , - , 30000000000.000000 , - , - , - , - , - 
67,      Pembayaran Dividen Kas, -1549623000000.000000 , -3411135000000.000000 , -2741090000000.000000 , -2765455000000.000000 , -2769413000000.000000 , -2859981000000.000000 , -3081876000000.000000 , -3772217000000.000000 , -4314626000000.000000 , -5177553000000.000000 , -6410302000000.000000 , -8752529000000.000000 , -13634221000000.000000 , -13732840000000.000000 , -19107633000000.000000 
68,      Hasil Penjualan Saham Tre..., - , - , - , - , 691492000000.000000 , 1932528000000.000000 , - , - , - , - , - , - , - , - , - 
69,      Pembayaran Tantieme Dewan..., -56113000000.000000 , -72202000000.000000 , - , - , - , - , - , - , - , - , - , - , - , - , - 
70,      Pembelian Kembali Saham B..., -617589000000.000000 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
71,     &nbspTotal Arus Kas Dari Aktivitas...,-2858995000000.000000,-3201329000000.000000,-3022702000000.000000,-2773338000000.000000,-1300874000000.000000,83951000000.000000,-2743308000000.000000,-4754155000000.000000,-3662059000000.000000,-6655698000000.000000,-7297649000000.000000,-7334896000000.000000,-15553268000000.000000,-14098229000000.000000,-19116216000000.000000
72,Kenaikan (Penurunan) Bersih Kas..., -397755000000.000000 , 3944253000000.000000 , -5310046000000.000000 , -36684982000000.000000 , 28466425000000.000000 , -8718266000000.000000 , 7339476000000.000000 , 43640713000000.000000 , -18590952000000.000000 , -17617091000000.000000 , 18242567000000.000000 , 9874730000000.000000 , -8692237000000.000000 , 70840231000000.000000 , -17719939000000.000000 
73,Kas Dan Setara Kas Awal Periode, 28854335000000.000000 , 28456580000000.000000 , 92106012000000.000000 , 86795966000000.000000 , 49176049000000.000000 , 76894602000000.000000 , 67156327000000.000000 , 74475895000000.000000 , 118661241000000.000000 , 100319853000000.000000 , 83377439000000.000000 , 103311560000000.000000 , 113067545000000.000000 , 106271237000000.000000 , 177268685000000.000000 
74,Dampak Neto Perubahan Nilai Tuk..., - , - , - , -934935000000.000000 , -747872000000.000000 , -1020009000000.000000 , -19908000000.000000 , 544633000000.000000 , 249564000000.000000 , 674677000000.000000 , 1691554000000.000000 , -118745000000.000000 , 1895929000000.000000 , 157217000000.000000 , 873625000000.000000 
75,Kas Dan Setara Kas Akhir Period..., 28456580000000.000000 , 32400833000000.000000 , 86795966000000.000000 , 49176049000000.000000 , 76894602000000.000000 , 67156327000000.000000 , 74475895000000.000000 , 118661241000000.000000 , 100319853000000.000000 , 83377439000000.000000 , 103311560000000.000000 , 113067545000000.000000 , 106271237000000.000000 , 177268685000000.000000 , 160422371000000.000000 
