,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
57,      Penurunan (Penambahan) Ef..., - , - , - , -1205082000000.000000 , -4065600000000.000000 , -5648237000000.000000 , -21598976000000.000000 , -53441154000000.000000 , 328455000000.000000 , -28918362000000.000000 , -25188955000000.000000 , -1270825000000.000000 , - , - , - 
58,      Hasil Penjualan Penyertaa..., - , - , - , 7350000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
59,      Penambahan Penyertaan Sah..., - , - , - , - , - , - , - , - , - , -71327000000.000000 , - , -228110000000.000000 , -280175000000.000000 , -315724000000.000000 , -145649000000.000000 
60,      (Kenaikan) Efek-Efek Dan ..., - , - , - , - , - , - , - , - , - , - , - , - , -112640485000000.000000 , -64581768000000.000000 , 37424578000000.000000 
61,      Penerimaan Dividen, 89000000.000000 , 24000000.000000 , 147000000.000000 , 134000000.000000 , 158000000.000000 , 382000000.000000 , 21000000.000000 , 394000000.000000 , 235000000.000000 , 40000000.000000 , 12534000000.000000 , 5857000000.000000 , 6649000000.000000 , 4349000000.000000 , 144069000000.000000 
62,     &nbspTotal Arus Kas Dari Aktivitas...,-636194000000.000000,-425253000000.000000,-505890000000.000000,-1788462000000.000000,-5496837000000.000000,-7487647000000.000000,-24649614000000.000000,-56704530000000.000000,-3324382000000.000000,-30995996000000.000000,-26999124000000.000000,-5188442000000.000000,-116007831000000.000000,-73095605000000.000000,27227960000000.000000
63,Arus Kas Dari Aktivitas Pendana..., -467330000000.000000 , 8934646000000.000000 , -7050019000000.000000 , -8298910000000.000000 , -5848791000000.000000 , -2579081000000.000000 , 9504649000000.000000 , 1804324000000.000000 , 7081628000000.000000 , -10847132000000.000000 , -1071548000000.000000 , -18085104000000.000000 , -19981772000000.000000 , 22643854000000.000000 , -10436111000000.000000 
64,      (Pembayaran) Penerimaan P..., 974218000000.000000 , 10254904000000.000000 , -4156854000000.000000 , 3643371000000.000000 , -2209161000000.000000 , -1803842000000.000000 , 15767824000000.000000 , 9930290000000.000000 , -647350000000.000000 , -5663258000000.000000 , 10829393000000.000000 , -9592989000000.000000 , 4935803000000.000000 , -4229199000000.000000 , 11068534000000.000000 
65,      Pembelian Kembali Saham B..., - , - , - , - , - , - , - , -2286375000000.000000 , -132573000000.000000 , - , - , - , - , - , -2187544000000.000000 
66,      Kenaikan Efek-Efek Yang D..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
67,      Penurunan (Kenaikan) Efek..., 2573610000000.000000 , -503887000000.000000 , 2506000000.000000 , -9188909000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
68,      Pembagian Laba Untuk Divi...,,,,,,,,,,,,,,,
69,         Dividen, -2612520000000.000000 , -2798324000000.000000 , -2414327000000.000000 , -2753372000000.000000 , -3619905000000.000000 , -5556285000000.000000 , -6350262000000.000000 , -7273684000000.000000 , -7621316000000.000000 , -10483777000000.000000 , -13048441000000.000000 , -16175565000000.000000 , -20623565000000.000000 , -12125589000000.000000 , -26406603000000.000000 
70,         Pkbl, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
71,        &nbspTotal Pembagian Laba Un...,-2612520000000.000000,-2798324000000.000000,-2414327000000.000000,-2753372000000.000000,-3619905000000.000000,-5556285000000.000000,-6350262000000.000000,-7273684000000.000000,-7621316000000.000000,-10483777000000.000000,-13048441000000.000000,-16175565000000.000000,-20623565000000.000000,-12125589000000.000000,-26406603000000.000000
72,      Kenaikan (Penurunan) Tamb..., 23231000000.000000 , 11889000000.000000 , 38532000000.000000 , - , - , - , - , - , - , - , - , - , - , - , - 
73,      Kenaikan (Penurunan) Moda..., 3750000000.000000 , 2276000000.000000 , 2365000000.000000 , - , - , - , - , - , - , - , - , - , - , - , - 
74,      Penambahan Modal Saham, - , - , - , - , - , - , - , - , - , - , - , - , - , 41059206000000.000000 , - 
75,      Penerimaan (Pembayaran) P..., -1429619000000.000000 , 1967788000000.000000 , -522241000000.000000 , - , -19725000000.000000 , -19538000000.000000 , -2019442000000.000000 , -21114000000.000000 , 952042000000.000000 , -22060000000.000000 , 487065000000.000000 , - , - , - , - 
76,      Penerimaan (Pembayaran) A..., - , - , - , - , - , 4800584000000.000000 , 2106529000000.000000 , 1455207000000.000000 , 15510825000000.000000 , 10242963000000.000000 , 9600185000000.000000 , 12102950000000.000000 , 1998840000000.000000 , 12547672000000.000000 , 21739525000000.000000 
77,      Pembayaran Atas Surat Ber..., - , - , - , - , - , - , - , - , -980000000000.000000 , -4921000000000.000000 , -8939750000000.000000 , -4419500000000.000000 , -6292850000000.000000 , -14608236000000.000000 , -14650023000000.000000 
78,      Keuntungan Yang Belum Dir..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
79,     &nbspTotal Arus Kas Dari Aktivitas...,-467330000000.000000,8934646000000.000000,-7050019000000.000000,-8298910000000.000000,-5848791000000.000000,-2579081000000.000000,9504649000000.000000,1804324000000.000000,7081628000000.000000,-10847132000000.000000,-1071548000000.000000,-18085104000000.000000,-19981772000000.000000,22643854000000.000000,-10436111000000.000000
80,Kenaikan (Penurunan) Bersih Kas..., -16901277000000.000000 , 10016089000000.000000 , 37257561000000.000000 , 5464018000000.000000 , -35712857000000.000000 , -10557184000000.000000 , 60677671000000.000000 , -9355298000000.000000 , 25528079000000.000000 , -2544019000000.000000 , 29191708000000.000000 , 21309532000000.000000 , -69300416000000.000000 , -17863377000000.000000 , 114297854000000.000000 
81,Kas Dan Setara Kas Awal Periode, 37012120000000.000000 , 20116129000000.000000 , 81674099000000.000000 , 127522699000000.000000 , 133022240000000.000000 , 119371406000000.000000 , 112050809000000.000000 , 172731255000000.000000 , 163388757000000.000000 , 188954879000000.000000 , 186617516000000.000000 , 215757148000000.000000 , 236906429000000.000000 , 171790168000000.000000 , 153924601000000.000000 
82,Penambahan Kas Dari Akuisisi Br..., - , - , - , - , - , - , - , - , 36764000000.000000 , - , - , - , - , - , - 
83,Dampak Neto Perubahan Nilai Tuk..., 5286000000.000000 , -18414000000.000000 , -42710000000.000000 , 35523000000.000000 , 428800000000.000000 , 4369000000.000000 , 2775000000.000000 , 12800000000.000000 , 1279000000.000000 , -427000000.000000 , -52076000000.000000 , -160251000000.000000 , -352878000000.000000 , -2190000000.000000 , -30287000000.000000 
84,Kas Dan Setara Kas Akhir Period..., 20116129000000.000000 , 30113804000000.000000 , 118888950000000.000000 , 133022240000000.000000 , 97738183000000.000000 , 108818591000000.000000 , 172731255000000.000000 , 163388757000000.000000 , 188954879000000.000000 , 186410433000000.000000 , 215757148000000.000000 , 236906429000000.000000 , 167253135000000.000000 , 153924601000000.000000 , 268192168000000.000000 
